CLICK,GRAB,ATCHECKOUT,FIXATION,FIXDURAS,FRAME,TIMESTPS,X,Y,BOUGHT,SUBJECT,IMAGEFILE,VIDEOFILE,RAWFIXATIONFILE,BAYSHELFAOI,VARIANTAOI,SIDE,BAYSHELF,BRAND,BRANDBLOCK,CATEGORY,COLOUR,SEGMENT,VARIANT
38,,0,580,0.32,11882,475.28,14954,4049,0,200,WW2019 Aisle 4 Base Image V7,Recording202_Participant200_00.00.00-00.28.22.mp4,P200.csv,SD2B18S4,path1778,2,B18S4,Red Bull,B17-19S2-5 Red Bull,Energy,Black,Energy Multi Pack,Red Bull Energy Drink Zero 4x250ml
39,,0,581,0.16,11892,475.68,15367,4052,0,200,WW2019 Aisle 4 Base Image V7,Recording202_Participant200_00.00.00-00.28.22.mp4,P200.csv,SD2B19S4,path1782,2,B19S4,V,B19S1-6 V,Energy,Yellow,Energy Multi Pack,V Forbidden Fruits Energy Drink 250ml x4 pack
28,,0,567,0.16,11616,464.64,15711,4273,0,200,WW2019 Aisle 4 Base Image V7,Recording202_Participant200_00.00.00-00.28.22.mp4,P200.csv,SD2B19S5,path1026,2,B19S5,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Energy Drink 4x275ml
40,,0,582,0.26,11927,477.08,15124,4062,0,200,WW2019 Aisle 4 Base Image V7,Recording202_Participant200_00.00.00-00.28.22.mp4,P200.csv,SD2B19S4,path1780,2,B19S4,V,B19S1-6 V,Energy,Blue,Energy Multi Pack,V Energy Drink Blue 4x275ml
40,,0,815,0.12,10010,400.4,15178,4293,0,203,WW2019 Aisle 4 Base Image V7,Recording205_Participant203_00.00.00-00.22.40.mp4,P203.csv,SD2B19S5,path1026,2,B19S5,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Energy Drink 4x275ml
54,,0,840,0.14,10314,412.56,15187,3888,0,203,WW2019 Aisle 4 Base Image V7,Recording205_Participant203_00.00.00-00.22.40.mp4,P203.csv,SD2B19S3,path1746,2,B19S3,V,B19S1-6 V,Energy,Blue,Energy Single Serve,V Energy Drink Blue 250ml
41,,0,816,0.32,10014,400.56,15197,4313,0,203,WW2019 Aisle 4 Base Image V7,Recording205_Participant203_00.00.00-00.22.40.mp4,P203.csv,SD2B19S5,path1026,2,B19S5,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Energy Drink 4x275ml
42,,0,817,0.16,10023,400.92,14526,4016,0,203,WW2019 Aisle 4 Base Image V7,Recording205_Participant203_00.00.00-00.22.40.mp4,P203.csv,SD2B18S4,path1640,2,B17S4,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Multi Pack,Red Bull Energy Drink 4x250ml
16,,0,1442,0.42,22056,882.24,14712,3824,0,205,WW2019 Aisle 4 Base Image V7,Recording207_Participant205_00.00.00-00.34.02.mp4,P205.csv,SD2B18S3,path1742,2,B18S3,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Single Serve,Red Bull Energy Drink Sugar Free 250ml
15,,0,1441,0.18,22050,882,14721,3752,0,205,WW2019 Aisle 4 Base Image V7,Recording207_Participant205_00.00.00-00.34.02.mp4,P205.csv,SD2B18S3,path1742,2,B18S3,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Single Serve,Red Bull Energy Drink Sugar Free 250ml
15,,0,485,0.12,10903,436.12,15809,3855,0,212,WW2019 Aisle 4 Base Image V7,Recording214_Participant212_00.00.00-00.29.53.mp4,P212.csv,SD2B19S3,path1750,2,B19S3,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Sugar Free Energy Drink 4pk 275ml
16,,0,1404,0.1,28629,1145.16,15428,4452,0,218,WW2019 Aisle 4 Base Image V7,Recording220_Participant218_00.00.00-00.49.18.mp4,P218.csv,SD2B19S5,path1026,2,B19S5,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Energy Drink 4x275ml
